# Filter  85: Cousins I filter (Bessell 1983, PASP, 95,480). Use with V = 15.
   7.00000E+03   0.00000E+00
   7.05000E+03   3.10000E-02
   7.10000E+03   7.40000E-02
   7.15000E+03   1.58000E-01
   7.20000E+03   3.14000E-01
   7.25000E+03   4.34000E-01
   7.30000E+03   5.87000E-01
   7.35000E+03   7.22000E-01
   7.40000E+03   8.08000E-01
   7.45000E+03   8.70000E-01
   7.50000E+03   9.19000E-01
   7.55000E+03   9.38000E-01
   7.60000E+03   9.51000E-01
   7.65000E+03   9.69000E-01
   7.70000E+03   9.80000E-01
   7.75000E+03   9.84000E-01
   7.80000E+03   9.95000E-01
   7.85000E+03   9.99000E-01
   7.90000E+03   1.00000E+00
   7.95000E+03   9.96000E-01
   8.00000E+03   9.94000E-01
   8.05000E+03   9.85000E-01
   8.10000E+03   9.74000E-01
   8.15000E+03   9.65000E-01
   8.20000E+03   9.57000E-01
   8.25000E+03   9.34000E-01
   8.30000E+03   9.13000E-01
   8.35000E+03   8.79000E-01
   8.40000E+03   8.69000E-01
   8.45000E+03   7.82000E-01
   8.50000E+03   6.36000E-01
   8.55000E+03   4.60000E-01
   8.60000E+03   2.61000E-01
   8.65000E+03   1.16000E-01
   8.70000E+03   4.60000E-02
   8.75000E+03   1.10000E-02
   8.80000E+03   5.00000E-03
   8.85000E+03   3.00000E-03
   8.90000E+03   0.00000E+00
