# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for ACM calibration mode
# Source is ACM MGG Lamps
# nm, W/nm, photons/s/nm
1.825970000000000084e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.828669999999999902e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.831370000000000005e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.834070000000000107e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.836769999999999925e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.839470000000000027e+02,3.538450937471970952e-16,3.272435568603100933e+02
1.842170000000000130e+02,9.199439136607612696e-17,8.520327196724207397e+01
1.844869999999999948e+02,6.852915530748278845e-17,6.356328946813262348e+01
1.847570000000000050e+02,4.293071597083552016e-17,3.987808089805761114e+01
1.850269999999999868e+02,1.919882950248545122e-17,1.785973768907177472e+01
1.852969999999999970e+02,4.119748830741669128e-16,3.837994465007236045e+02
1.855670000000000073e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.858369999999999891e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.861069999999999993e+02,2.693169138543097594e-17,2.519947857550730674e+01
1.863770000000000095e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.866469999999999914e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.869170000000000016e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.871870000000000118e+02,3.066479712202537540e-18,2.885898129150610725e+00
1.874569999999999936e+02,5.413003318061869773e-17,5.101585535414399430e+01
1.877270000000000039e+02,1.986545552687730658e-17,1.874953428704925429e+01
1.879970000000000141e+02,5.397004293476465392e-16,5.101159457821494243e+02
1.882669999999999959e+02,3.943759560302219705e-16,3.732930020811554073e+02
1.885370000000000061e+02,3.131809062592939424e-16,2.968636929281473726e+02
1.888069999999999879e+02,5.303676650061606134e-16,5.034546391494126283e+02
1.890769999999999982e+02,8.879458644899521381e-17,8.440932137766048982e+01
1.893470000000000084e+02,9.426091984900842042e-17,8.973364701181597525e+01
1.896169999999999902e+02,2.282527507517714848e-16,2.175998081412702732e+02
