# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for spectral calibration mode
# Source is Hector Ne
# nm, W/line, W/mm^2/line, W/mm^2/sr/line, photons/s/line, photons/s/mm^2/line, photons/s/mm^2/sr/line
5.866622772031059867e+02,3.551943087440656813e-11,1.086715301705630193e-13,3.116669138240927115e-11,1.047657627035579085e+08,3.205303537305608043e+05,9.192721035339690745e+07
5.895145175137929527e+02,3.172606401501401243e-11,9.706574226911542324e-14,2.783818382199858991e-11,9.403205289302513003e+07,2.876906195117937168e+05,8.250886628600190580e+07
5.956338694530860494e+02,4.674469871371899704e-11,1.430151838452468355e-13,4.101635534999332002e-11,1.399835383170997500e+08,4.282789710622868733e+05,1.228292129109065384e+08
5.986416865079929721e+02,1.134580975695125868e-11,3.471245109955879488e-14,9.955434039153525995e-12,3.414818847511384636e+07,1.044762205584017793e+05,2.996348830124659464e+07
6.038794368967099899e+02,1.374823821952766163e-11,4.206266957790745028e-14,1.206345617290303635e-11,4.174096709064953774e+07,1.277062906942138216e+05,3.662580754510220140e+07
6.081837268201110192e+02,3.652227811415148374e-11,1.117397365406411852e-13,3.204664440123289026e-11,1.116754912791615427e+08,3.416706355112343444e+05,9.799018413283392787e+07
6.103099423244409536e+02,5.783308277939909732e-11,1.769400422642087087e-13,5.074591000774232350e-11,1.774565380369013846e+08,5.429274358429028653e+05,1.557100724485997558e+08
6.134214772088270138e+02,2.162317389114823896e-12,6.615599788757891662e-15,1.897335545033128103e-12,6.668737692434134893e+06,2.040297131745736624e+04,5.851515197561772540e+06
6.148216679068010535e+02,1.050864418221447916e-10,3.215114699718036734e-13,9.220859175157076468e-11,3.248336924860839248e+08,9.938271403681838419e+05,2.850268485471998453e+08
6.168441655816519642e+02,3.174901483596463061e-11,9.713596019687988941e-14,2.785832212759447905e-11,9.846251666430413723e+07,3.012456023912365199e+05,8.639639752288028598e+07
6.220300570556289586e+02,2.887574720825876715e-11,8.834521152761207958e-14,2.533715995783964002e-11,9.030458865498803556e+07,2.762864603675825056e+05,7.923818529010854661e+07
6.268010772116880389e+02,5.855185256562341807e-11,1.791391150135878916e-13,5.137659793124717922e-11,1.845166629505917728e+08,5.645278545061105397e+05,1.619050122009930611e+08
6.304830601582119698e+02,1.998427917985792922e-11,6.114180729724794033e-14,1.753529959139428996e-11,6.334715682439853996e+07,1.938103256328435382e+05,5.558426016678389162e+07
6.333353004688990495e+02,7.365758897678311301e-11,2.253550438655542917e-13,6.463119726577276911e-11,2.345397247180774510e+08,7.175731745539103867e+05,2.057979826042377651e+08
6.380544617102179927e+02,1.034675460546213574e-10,3.165584660550043070e-13,9.078808405973590423e-11,3.319151805045682788e+08,1.015492919349110685e+06,2.912405334561932087e+08
6.399213826408499699e+02,1.468228993102195256e-10,4.492039635583442821e-13,1.288304423247213745e-10,4.723736185517042875e+08,1.445224843881376088e+06,4.144864493648465872e+08
6.500338710151049781e+02,9.682143943819189049e-11,2.962247344071669261e-13,8.495642660606600803e-11,3.164264206901077628e+08,9.681051322127304738e+05,2.776498484381686449e+08
6.525749578373539634e+02,4.120149267798025450e-11,1.260557712892174159e-13,3.615244318890455552e-11,1.351787951089442670e+08,4.135788820222031209e+05,1.186132684249207079e+08
6.590054632650850408e+02,4.542008979728685089e-11,1.389625491525560407e-13,3.985407103730814078e-11,1.504881212589381039e+08,4.604176927138127503e+05,1.320465085316282809e+08
