# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for spectral calibration mode
# Source is Hector Xe
# nm, W/line, W/mm^2/line, W/mm^2/sr/line, photons/s/line, photons/s/mm^2/line, photons/s/mm^2/sr/line
3.700786324785919987e+02,4.722939910701697495e-15,1.444981223979565638e-17,4.144165798573277621e-15,8.787627669336590770e+03,2.688570514467570405e+01,7.710745155859984152e+03
3.944752136751719718e+02,5.215981227397919211e-15,1.595826980805287162e-17,4.576787216708670822e-15,1.034477279639758854e+04,3.164978327007392522e+01,9.077069458305424632e+03
3.961162393161969817e+02,5.603054397778100092e-15,1.714251833562413537e-17,4.916426387344773827e-15,1.115867690664625479e+04,3.413991903225935687e+01,9.791233441075557494e+03
4.097914529914099830e+02,4.207721349110149338e-15,1.287350349604342415e-17,3.692084852783605107e-15,8.669121394845771647e+03,2.652313576035008325e+01,7.606761268927952187e+03
4.179965811965370222e+02,5.880134557606091465e-15,1.799024376948259929e-17,5.159551674461072798e-15,1.235734611390124701e+04,3.780724178248379985e+01,1.084301136466363278e+04
4.479179487179019929e+02,3.210313037018708607e-14,9.821937499305696219e-17,2.816904246564980311e-14,7.229546658038000169e+04,2.211876368589466040e+02,6.343599657396347175e+04
4.502153846153379959e+02,1.705683166959748176e-14,5.218529553446415951e-17,1.496659702932053558e-14,3.860858738284016727e+04,1.181227898457207885e+02,3.387728626414440077e+04
4.559042735042260119e+02,9.022164867260736288e-15,2.760327058851557217e-17,7.916540921317022690e-15,2.067995736170868986e+04,6.327023139264837681e+01,1.814572567822782003e+04
4.599521367520890180e+02,9.027138199641240616e-14,2.761848647532826621e-16,7.920904795163803527e-14,2.087507040563798510e+05,6.386717882446409931e+02,1.831692853466797387e+05
4.645470085469600008e+02,1.784889449513452168e-13,5.460860798974200587e-16,1.566159627427688864e-13,4.168753415578202694e+05,1.275428128836011638e+03,3.657892256553818006e+05
4.665162393161909904e+02,8.177403925483533078e-15,2.501872849672766933e-17,7.175301466851147501e-15,1.917994834935161271e+04,5.868096093899554688e+01,1.682953572788007295e+04
4.671179487178999921e+02,2.654559961724334267e-14,8.121613603272978168e-17,2.329256101419579870e-14,6.234251403063540783e+04,1.907366257737690489e+02,5.470273163065697008e+04
