# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is LDLS 100um Core
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.700000000000000000e+02,2.130749254563327363e-17,6.519017230932810665e-20,1.869635937160362383e-17,3.963686396120820632e+01,1.212687971566184103e-01,3.477955237553213408e+01
3.710000000000000000e+02,2.134051860724864993e-17,6.529121538808520857e-20,1.872533824442347317e-17,3.980559277671819984e+01,1.217850221668155541e-01,3.492760426687335240e+01
3.720000000000000000e+02,2.141090529914112093e-17,6.550656313784632471e-20,1.878709937768594590e-17,4.004452876460783983e+01,1.225160456876764198e-01,3.513725977123767308e+01
3.730000000000000000e+02,2.145252349294037489e-17,6.563389380423824955e-20,1.882361745723009917e-17,4.023022253829442008e+01,1.230841749068922464e-01,3.530019764478043243e+01
3.740000000000000000e+02,2.151524148059030688e-17,6.582577918976809774e-20,1.887864964995083503e-17,4.045600962162280467e+01,1.237749694166579706e-01,3.549831558110413710e+01
3.750000000000000000e+02,2.157413813863870163e-17,6.600597323551964454e-20,1.893032879907178241e-17,4.067522273499000818e+01,1.244456508965302577e-01,3.569066515662100869e+01
3.760000000000000000e+02,2.157645232264083256e-17,6.601305347049010543e-20,1.893235939068941176e-17,4.078806472253873494e+01,1.247908904218415493e-01,3.578967888838220546e+01
3.770000000000000000e+02,2.161908945287002958e-17,6.614350156805314932e-20,1.896977154078786496e-17,4.097735909367521856e+01,1.253700356518654413e-01,3.595577612306196613e+01
3.780000000000000000e+02,2.161763096261020554e-17,6.613903932402580659e-20,1.896849178166185477e-17,4.108328056242664417e+01,1.256941018827640033e-01,3.604871741311303168e+01
3.790000000000000000e+02,2.162965825367259947e-17,6.617583676394477331e-20,1.897904518467198515e-17,4.121488425410717582e+01,1.260967427528158491e-01,3.616419369024978892e+01
3.800000000000000000e+02,2.162544128167666729e-17,6.616293495813868572e-20,1.897534498279571619e-17,4.131557409269549197e+01,1.264048028360618414e-01,3.625254446185204671e+01
3.810000000000000000e+02,2.162706202470542983e-17,6.616789361374247766e-20,1.897676711137559937e-17,4.142740387839501892e+01,1.267469455346198481e-01,3.635067003234843952e+01
3.820000000000000000e+02,2.164987897192793182e-17,6.623770195547119842e-20,1.899678794884022268e-17,4.157995860873037230e+01,1.272136860079939591e-01,3.648452989671677216e+01
3.830000000000000000e+02,2.169197528748242851e-17,6.636649543310392609e-20,1.903372555856326767e-17,4.176986694371931463e+01,1.277947096575103580e-01,3.665116585686140382e+01
3.840000000000000000e+02,2.174088358540043220e-17,6.651613013844536253e-20,1.907664037419303149e-17,4.197334990846539426e+01,1.284172648223379787e-01,3.682971293961853121e+01
3.850000000000000000e+02,2.176113921782106040e-17,6.657810214969479245e-20,1.909441377395952964e-17,4.212186324213730160e+01,1.288716406618024279e-01,3.696002666151041183e+01
3.860000000000000000e+02,2.180452044269142903e-17,6.671082680128072171e-20,1.913247883339435939e-17,4.231545948154295189e+01,1.294639474373773802e-01,3.712989859069997323e+01
3.870000000000000000e+02,2.180395642720750187e-17,6.670910119858470149e-20,1.913198393535996828e-17,4.242398761854853717e+01,1.297959887574272608e-01,3.722512711404881003e+01
3.880000000000000000e+02,2.182653386937286679e-17,6.677817677572789090e-20,1.915179461798774432e-17,4.257765279696668870e+01,1.302661266414400498e-01,3.735996134630088505e+01
