# Timestamp Tue Jun  3 17:26:31 2025
# At the Calibration unit focal plane for Spectrograph Ronchi calibration mode
# Source is LDLS 600um Core
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.700000000000000000e+02,3.656016842483114732e-12,1.118556617663227779e-14,3.207989143223156284e-12,6.801036861331083812e+06,2.080773999675185041e+04,5.967601724447299726e+06
3.710000000000000000e+02,3.670879470562955439e-12,1.123103831669846474e-14,3.221030426010986669e-12,6.847140691698625684e+06,2.094879444693378900e+04,6.008055746858100407e+06
3.720000000000000000e+02,3.691761539683729445e-12,1.129492690805866821e-14,3.239353495601109166e-12,6.904652050087218173e+06,2.112475017495136126e+04,6.058519358288652264e+06
3.730000000000000000e+02,3.713021427777344008e-12,1.135997143477299543e-14,3.258008084222789047e-12,6.963081913328051567e+06,2.130351606420476310e+04,6.109788916114130057e+06
3.740000000000000000e+02,3.726025598038618566e-12,1.139975763196427639e-14,3.269418654472366901e-12,7.006201979217915796e+06,2.143544170112940992e+04,6.147624820375391282e+06
3.750000000000000000e+02,3.748803926668129445e-12,1.146944782029104139e-14,3.289405605871259023e-12,7.067880706387876533e+06,2.162414747415354941e+04,6.201745109108708799e+06
3.760000000000000000e+02,3.761898800878841504e-12,1.150951152578510914e-14,3.300895764727120567e-12,7.111482901611084118e+06,2.175754818348517801e+04,6.240004060017081909e+06
3.770000000000000000e+02,3.782490005962327520e-12,1.157251022000379041e-14,3.318963614302135236e-12,7.169425501497222111e+06,2.193482329281764396e+04,6.290846066324308515e+06
3.780000000000000000e+02,3.790380351825585644e-12,1.159665069572163288e-14,3.325887035324565864e-12,7.203437772700209171e+06,2.203888367512709010e+04,6.320690293377004564e+06
3.790000000000000000e+02,3.804064011703776201e-12,1.163851578817073451e-14,3.337893826928671173e-12,7.248568428535602987e+06,2.217696070244700604e+04,6.360290399225573987e+06
