# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for NCPA calibration mode
# Source is NCPA MGG Lamps
# nm, W/nm, photons/s/nm
1.825970000000000084e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.828669999999999902e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.831370000000000005e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.834070000000000107e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.836769999999999925e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.839470000000000027e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.842170000000000130e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.844869999999999948e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.847570000000000050e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.850269999999999868e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.852969999999999970e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.855670000000000073e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.858369999999999891e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.861069999999999993e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.863770000000000095e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.866469999999999914e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.869170000000000016e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.871870000000000118e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.874569999999999936e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.877270000000000039e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.879970000000000141e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.882669999999999959e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.885370000000000061e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.888069999999999879e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.890769999999999982e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.893470000000000084e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.896169999999999902e+02,0.000000000000000000e+00,0.000000000000000000e+00
