# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is Thorlabs OSL2IR QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.700000000000000000e+02,2.011694574167553268e-16,6.154770001343936825e-19,1.765170848892293242e-16,3.742217156571115311e+02,1.144929562844271942e+00,3.283626013525130816e+02
3.710000000000000000e+02,2.192812760656118270e-16,6.708900233245029689e-19,1.924093851966031856e-16,4.090163570655706167e+02,1.251383603083914720e+00,3.588933228151824437e+02
3.720000000000000000e+02,2.271688826125337746e-16,6.950221181170178134e-19,1.993304025930536411e-16,4.248709116735172415e+02,1.299890537654754707e+00,3.728049761921366212e+02
3.730000000000000000e+02,2.303236864499859428e-16,7.046742254837190118e-19,2.020986000318464883e-16,4.319292863038952532e+02,1.321485601334475568e+00,3.789983801502199299e+02
3.740000000000000000e+02,2.439180394434045800e-16,7.462660839427478243e-19,2.140270288906179732e-16,4.586493049363163550e+02,1.403235371516277974e+00,4.024439859481705639e+02
3.750000000000000000e+02,2.409687255402682348e-16,7.372426720547469996e-19,2.114391395594538209e-16,4.543150934017123745e+02,1.389974871898090214e+00,3.986409116882613830e+02
3.760000000000000000e+02,2.682354148652077645e-16,8.206649786255878969e-19,2.353644241231418428e-16,5.070714730483566655e+02,1.551382765023736177e+00,4.449322446973421279e+02
3.770000000000000000e+02,2.755426984539906381e-16,8.430215780821253785e-19,2.417762344153906583e-16,5.222704741938384814e+02,1.597884036887688763e+00,4.582686796108712315e+02
3.780000000000000000e+02,2.883639044623349416e-16,8.822479970099897928e-19,2.530262618222285819e-16,5.480218998831705903e+02,1.676670401557446954e+00,4.808643889834209517e+02
3.790000000000000000e+02,2.950682324523364355e-16,9.027598566739284626e-19,2.589090058934851922e-16,5.622466571112897782e+02,1.720190978780386848e+00,4.933459689976415348e+02
3.800000000000000000e+02,2.951721366454143909e-16,9.030777510594788238e-19,2.590001771155255988e-16,5.639286672964176432e+02,1.725337080958280422e+00,4.948218567315220184e+02
3.810000000000000000e+02,3.079380133932714713e-16,9.421348903774976016e-19,2.702016556029813443e-16,5.898661795014401150e+02,1.804692776439550617e+00,5.175808485909296905e+02
3.820000000000000000e+02,3.183663516004444073e-16,9.740403416252032241e-19,2.793520499233063206e-16,6.114426662210647692e+02,1.870705935147449317e+00,5.365132381634139165e+02
3.830000000000000000e+02,3.292672515244168285e-16,1.007391593202486564e-18,2.889170957406867962e-16,6.340339735236383376e+02,1.939823932612128932e+00,5.563360868209304044e+02
3.840000000000000000e+02,3.580317377087148014e-16,1.095396402155380720e-18,3.141566291906880003e-16,6.912226610364328963e+02,2.114792450616723496e+00,6.065165691765923839e+02
3.850000000000000000e+02,3.496427439109143094e-16,1.069730315448591147e-18,3.067956671969701931e-16,6.767845973137357305e+02,2.070619263186061598e+00,5.938478223772425508e+02
3.860000000000000000e+02,3.476065513853556353e-16,1.063500594081243207e-18,3.050090005056132805e-16,6.745908940912382832e+02,2.063907638589039362e+00,5.919229471853532232e+02
3.870000000000000000e+02,3.510063057608851689e-16,1.073902126456556978e-18,3.079921309440706811e-16,6.829534455981024621e+02,2.089492825232214912e+00,5.992607072667439070e+02
3.880000000000000000e+02,3.690946616506111749e-16,1.129243365446470482e-18,3.238638437432891593e-16,7.200036637528263554e+02,2.202847791821169743e+00,6.317705951352247666e+02
3.890000000000000000e+02,3.776530353267352209e-16,1.155427669087045169e-18,3.313734289064706321e-16,7.385974396284566410e+02,2.259735360859027598e+00,6.480857910739923682e+02
3.900000000000000000e+02,3.911284824217475959e-16,1.196655735514275839e-18,3.431975232264293072e-16,7.669185929838188258e+02,2.346383795126031124e+00,6.729363200518222357e+02
3.910000000000000000e+02,3.997891943765421552e-16,1.223153142632703822e-18,3.507969055927024723e-16,7.859103821077326302e+02,2.404489083807879624e+00,6.896007545839452177e+02
3.920000000000000000e+02,4.139964912247913708e-16,1.266620299906305640e-18,3.632631649146307865e-16,8.159206865767633872e+02,2.496305467889753160e+00,7.159334371369295695e+02
3.930000000000000000e+02,4.054604856790488511e-16,1.240504431454464994e-18,3.557732067724696529e-16,8.011361029254209143e+02,2.451072104382125971e+00,7.029606347992991005e+02
