# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is Thorlabs SLS201L QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.700000000000000000e+02,8.300200154083321989e-20,2.539442297528781590e-22,7.283049594157180816e-20,1.544029189045163231e-01,4.723949975292354329e-04,1.354815661054880327e-01
3.710000000000000000e+02,9.761388038130864365e-20,2.986492037113851654e-22,8.565175763206791615e-20,1.820751614955530839e-01,5.570580923927797657e-04,1.597627052865620845e-01
3.720000000000000000e+02,9.003722390959616962e-20,2.754684591980780234e-22,7.900358483900252811e-20,1.683954112336339126e-01,5.152049613961037951e-04,1.477593441936095875e-01
3.730000000000000000e+02,9.469640432889140372e-20,2.897231995765440803e-22,8.309180457249409924e-20,1.775855144025967614e-01,5.433220384215733771e-04,1.558232433662156968e-01
3.740000000000000000e+02,1.050538261376646016e-19,3.214116824399438290e-22,9.217997296609488582e-20,1.975371089768052646e-01,6.043638473229713494e-04,1.733298636969305695e-01
3.750000000000000000e+02,1.074537099645815069e-19,3.287541156175701268e-22,9.428576229733805492e-20,2.025899509136152021e-01,6.198229932457958481e-04,1.777635035771833738e-01
3.760000000000000000e+02,1.148785958567451197e-19,3.514705187631125396e-22,1.008007632828242569e-19,2.171661741686082281e-01,6.644188791097553224e-04,1.905534791067970413e-01
3.770000000000000000e+02,1.193963110330261050e-19,3.652924469020282034e-22,1.047648536746618878e-19,2.263067333305723572e-01,6.923843764809685690e-04,1.985739056578558759e-01
3.780000000000000000e+02,1.186008346567833115e-19,3.628586907045682024e-22,1.040668591936123452e-19,2.253952513839321270e-01,6.895957017914872145e-04,1.977741215444216993e-01
3.790000000000000000e+02,1.271178680798988135e-19,3.889165140372809537e-22,1.115401701577014032e-19,2.422205731638092385e-01,7.410726939171921081e-04,2.125375791340816389e-01
3.800000000000000000e+02,1.257810116328448886e-19,3.848264080827846102e-22,1.103671391917706884e-19,2.403056029184568176e-01,7.352138515407649535e-04,2.108572795016232515e-01
3.810000000000000000e+02,1.387949332137895620e-19,4.246424393903131976e-22,1.217862657825751939e-19,2.658666141500946600e-01,8.134176440809921891e-04,2.332859088142843484e-01
3.820000000000000000e+02,1.456143071915670110e-19,4.455062817077972752e-22,1.277699574959400553e-19,2.796614647922504027e-01,8.556229241446887271e-04,2.453902652762649794e-01
3.830000000000000000e+02,1.488515907332233096e-19,4.554107353380286804e-22,1.306105271384242340e-19,2.866272461077151168e-01,8.769346990169181368e-04,2.515024227954574809e-01
3.840000000000000000e+02,1.558395500220092969e-19,4.767903636143689184e-22,1.367421448244317665e-19,3.008667029082532918e-01,9.205002495119039624e-04,2.639969010185108655e-01
3.850000000000000000e+02,1.629437717843166304e-19,4.985256963766185145e-22,1.429757775636761568e-19,3.154014687630061209e-01,9.649692966566021527e-04,2.767504995576436921e-01
3.860000000000000000e+02,1.695385840266361185e-19,5.187024931303304591e-22,1.487624265279591453e-19,3.290190720677805825e-01,1.006632289332868788e-03,2.886993295112731950e-01
3.870000000000000000e+02,1.722805116437186232e-19,5.270914076604893035e-22,1.511683437887587972e-19,3.352064253701312890e-01,1.025562467393712320e-03,2.941284517156845801e-01
3.880000000000000000e+02,1.736047666550439265e-19,5.311429595821854927e-22,1.523303175657464089e-19,3.386558545105935458e-01,1.036115979476561052e-03,2.971551695098522683e-01
3.890000000000000000e+02,1.812968805986674759e-19,5.546769456827964160e-22,1.590797990596062917e-19,3.545725819652169597e-01,1.084813131576711125e-03,3.111213767430208721e-01
3.900000000000000000e+02,1.908856561289395854e-19,5.840137589054303514e-22,1.674935151673867306e-19,3.742856002528227033e-01,1.145125017461628156e-03,3.284186571909543662e-01
3.910000000000000000e+02,1.937240764548908206e-19,5.926978924203793318e-22,1.699841004086109317e-19,3.808251075608965475e-01,1.165132609031515254e-03,3.341567785810301006e-01
3.920000000000000000e+02,1.946458998626512073e-19,5.955182067610729429e-22,1.707929586856575404e-19,3.836158509108058556e-01,1.173670875064558279e-03,3.366055294357856442e-01
3.930000000000000000e+02,1.965843777245971061e-19,6.014489705788911001e-22,1.724938851866627286e-19,3.884246377363834712e-01,1.188383335532952438e-03,3.408250220128630770e-01
3.940000000000000000e+02,2.027484130673005998e-19,6.203078074528704580e-22,1.779025469379051974e-19,4.016233019030489571e-01,1.228764585904630396e-03,3.524062518528640053e-01
3.950000000000000000e+02,2.122965036903415027e-19,6.495201453949375540e-22,1.862805638828223480e-19,4.216044190934384317e-01,1.289896719110107410e-03,3.699387769417538108e-01
3.960000000000000000e+02,2.160050678383166747e-19,6.608664798033119105e-22,1.895346609059560442e-19,4.300553386826214686e-01,1.315752267481707033e-03,3.773540760118582194e-01
3.970000000000000000e+02,2.206657931157085120e-19,6.751259466677920655e-22,1.936242361824375025e-19,4.404440415632794315e-01,1.347536454636065646e-03,3.864696921288471310e-01
3.980000000000000000e+02,2.227466439838236115e-19,6.814923000222245556e-22,1.954500885461388459e-19,4.457172664935234452e-01,1.363669861281274027e-03,3.910967081013739244e-01
3.990000000000000000e+02,2.225388102137998166e-19,6.808564335893004406e-22,1.952677238288640047e-19,4.464202376837915209e-01,1.365820598301311717e-03,3.917135334726834506e-01
4.000000000000000000e+02,2.225088008723380750e-19,6.807646201515347778e-22,1.952413919913062893e-19,4.474787347859992548e-01,1.369059065161457771e-03,3.926423167245979284e-01
4.010000000000000000e+02,2.326594104001742092e-19,7.118203618230229001e-22,2.041480919780272143e-19,4.690619586247856687e-01,1.435092836053454991e-03,4.115806178139211347e-01
4.020000000000000000e+02,2.433445350085894722e-19,7.445114498465165643e-22,2.135238047317195004e-19,4.918275669856861376e-01,1.504744106778781697e-03,4.315564077533999288e-01
4.030000000000000000e+02,2.457640997280001473e-19,7.519140966213140625e-22,2.156468631544819745e-19,4.979534046776474820e-01,1.523486078121617142e-03,4.369315527966629586e-01
4.040000000000000000e+02,2.569535753759505826e-19,7.861482442564101952e-22,2.254651210957131727e-19,5.219167644639720605e-01,1.596801863648012821e-03,4.579583153477533308e-01
4.050000000000000000e+02,2.587015952302137690e-19,7.914963027037143005e-22,2.269989293236879391e-19,5.267679540886706091e-01,1.611644055279056473e-03,4.622150144599981303e-01
4.060000000000000000e+02,2.712273395920571564e-19,8.298187581264904334e-22,2.379897025216283448e-19,5.536365001225500571e-01,1.693848244340649244e-03,4.857909463236858572e-01
4.070000000000000000e+02,2.751331386088519452e-19,8.417685316798613944e-22,2.414168642064140993e-19,5.629923952428493861e-01,1.722472561054316786e-03,4.940003204223757938e-01
4.080000000000000000e+02,2.819122359583087319e-19,8.625091478441677188e-22,2.473652150031625269e-19,5.782815096580692371e-01,1.769249534039318275e-03,5.074158256475128637e-01
4.090000000000000000e+02,2.863595936049126754e-19,8.761158174549818584e-22,2.512675698502605552e-19,5.888440109824498725e-01,1.801565456707328186e-03,5.166839420249199621e-01
4.100000000000000000e+02,2.975541386973211029e-19,9.103654750313355298e-22,2.610902759993321643e-19,6.133594613670270146e-01,1.876570360798630703e-03,5.381951390634801546e-01
4.110000000000000000e+02,3.049044125845982584e-19,9.328536031020668880e-22,2.675398083308317305e-19,6.300438088098033740e-01,1.927616042609097725e-03,5.528348980591847317e-01
4.120000000000000000e+02,3.123508542938394015e-19,9.556359561676452047e-22,2.740737235692159072e-19,6.470012668127795852e-01,1.979497304882201717e-03,5.677142991981748432e-01
4.130000000000000000e+02,3.212643743140197083e-19,9.829068283621910392e-22,2.818949335593809670e-19,6.670798722558579641e-01,2.040927702934062192e-03,5.853323658120882511e-01
4.140000000000000000e+02,3.230189609187057261e-19,9.882749777512452130e-22,2.834345038133447370e-19,6.723471584733241579e-01,2.057042940115714254e-03,5.899541708332063372e-01
4.150000000000000000e+02,3.356747784893717366e-19,1.026995391539033727e-21,2.945394103590527384e-19,7.003772401864720720e-01,2.142800842074907459e-03,6.145492976320106049e-01
4.160000000000000000e+02,3.386810597419095528e-19,1.036193094762138110e-21,2.971772859584076148e-19,7.083525432510527908e-01,2.167201243946956062e-03,6.215472647496108616e-01
4.170000000000000000e+02,3.485427408806555013e-19,1.066364861398576543e-21,3.058304643736193941e-19,7.307306332188705511e-01,2.235666903987965949e-03,6.411830248557028877e-01
4.180000000000000000e+02,3.574168264526280878e-19,1.093515084086002795e-21,3.136170724220621353e-19,7.511323954610283904e-01,2.298085998732776226e-03,6.590846469201707691e-01
4.190000000000000000e+02,3.601441027267506695e-19,1.101859172901916834e-21,3.160101337931944279e-19,7.586746055430294566e-01,2.321161354680257357e-03,6.657025945668602063e-01
4.200000000000000000e+02,3.714348826748762546e-19,1.136403260562567404e-21,3.259172816682321293e-19,7.843270524054702930e-01,2.399644894098935770e-03,6.882114545030543207e-01
4.210000000000000000e+02,3.814676978294611475e-19,1.167098610908193387e-21,3.347206224291060003e-19,8.074303709713582800e-01,2.470329387593511814e-03,7.084835698474291066e-01
4.220000000000000000e+02,3.839996478856162078e-19,1.174845100087333725e-21,3.369422938932374602e-19,8.147202182389646774e-01,2.492632640708169946e-03,7.148800805577991690e-01
4.230000000000000000e+02,3.947911258954086073e-19,1.207861575837544166e-21,3.464113269382911507e-19,8.396010369721360611e-01,2.568755387527809145e-03,7.367118717692164864e-01
4.240000000000000000e+02,4.034136872831782944e-19,1.234242261477237701e-21,3.539772339104136687e-19,8.599668346308074751e-01,2.631064448800144850e-03,7.545819365410528778e-01
4.250000000000000000e+02,4.146106187146907031e-19,1.268499220046753588e-21,3.638020339639357964e-19,8.859201254587409924e-01,2.710468418903320183e-03,7.773547734272133747e-01
4.260000000000000000e+02,4.211792022716701199e-19,1.288595770262159560e-21,3.695656684451249590e-19,9.020731029046330507e-01,2.759888376730417533e-03,7.915282793244005077e-01
4.270000000000000000e+02,4.301336421422513636e-19,1.315991836544784681e-21,3.774227837501406719e-19,9.234141035431944200e-01,2.825181066891016557e-03,8.102540405294625936e-01
4.280000000000000000e+02,4.380978767149001964e-19,1.340358374418303187e-21,3.844110387675293056e-19,9.427143852889759978e-01,2.884230187285238313e-03,8.271891633609983474e-01
4.290000000000000000e+02,4.468747336407278364e-19,1.367211126524335492e-21,3.921123330839293358e-19,9.638474647152954766e-01,2.948886743483861237e-03,8.457324831222006178e-01
4.300000000000000000e+02,4.595034511733563056e-19,1.405848627874375943e-21,4.031934605740281997e-19,9.933960985648226938e-01,3.039290648496640115e-03,8.716600706225848816e-01
4.310000000000000000e+02,4.594642436082544817e-19,1.405728672515042088e-21,4.031590577119523580e-19,9.956213624693700526e-01,3.046098832850594167e-03,8.736126388831144673e-01
4.320000000000000000e+02,4.744183955439937472e-19,1.451480829383941321e-21,4.162806485368399959e-19,1.030410994846683304e+00,3.152537547983221260e-03,9.041389651478878298e-01
4.330000000000000000e+02,4.816368512275305475e-19,1.473565660285991737e-21,4.226145163665887958e-19,1.048510591158978267e+00,3.207913176992632093e-03,9.200205409086625874e-01
4.340000000000000000e+02,4.915298693865238638e-19,1.503833302387138725e-21,4.312951915973421055e-19,1.072518669249630019e+00,3.281365777958865360e-03,9.410865417458346149e-01
