# Timestamp Tue Jun  3 17:29:50 2025
# At the Calibration unit focal plane for Spectrograph Ronchi calibration mode
# Source is Thorlabs SLS201L QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.700000000000000000e+02,1.321823047451258546e-15,4.044111339766642734e-18,1.159839838868403248e-15,2.458896568913854935e+03,7.522982381667461027e+00,2.157570338769779937e+03
3.710000000000000000e+02,1.558300040571781266e-15,4.767611577802769305e-18,1.367337686727729106e-15,2.906633057074564476e+03,8.892830042055443585e+00,2.550438822403154973e+03
3.720000000000000000e+02,1.440842808681930027e-15,4.408251734335625149e-18,1.264274287151109648e-15,2.694788963447350852e+03,8.244694043101322478e+00,2.364555227854262739e+03
3.730000000000000000e+02,1.519089091684507904e-15,4.647645865793287927e-18,1.332931855533467590e-15,2.848769387623536659e+03,8.715796420014562784e+00,2.499666073976789448e+03
3.740000000000000000e+02,1.689340211697578295e-15,5.168528359392128622e-18,1.482319500108038530e-15,3.176537150200575070e+03,9.718600333899729549e+00,2.787267436100585655e+03
3.750000000000000000e+02,1.732137575996289338e-15,5.299466692330314908e-18,1.519872248343077711e-15,3.265719411757710077e+03,9.991453039838452455e+00,2.865520830209422456e+03
3.760000000000000000e+02,1.856333652450229252e-15,5.679443998755988006e-18,1.628848678720939816e-15,3.509207910112048012e+03,1.073640494485797880e+01,3.079170956254768953e+03
3.770000000000000000e+02,1.934033533329007365e-15,5.917166415509332174e-18,1.697026803994443215e-15,3.665815193891582567e+03,1.121554418625951932e+01,3.216586752669206362e+03
3.780000000000000000e+02,1.925826788256173826e-15,5.892057917911551858e-18,1.689825757000094962e-15,3.659942312523045985e+03,1.119757613358756743e+01,3.211433565339547840e+03
3.790000000000000000e+02,2.069153329229928873e-15,6.330564789734624038e-18,1.815588303287286629e-15,3.942730577064571207e+03,1.206276548672409632e+01,3.459567455735956628e+03
3.800000000000000000e+02,2.052380853531303378e-15,6.279249479943679270e-18,1.800871215739730049e-15,3.921089614589719986e+03,1.199655506474911171e+01,3.440578491609338471e+03
3.810000000000000000e+02,2.270248915351159814e-15,6.945815780990984668e-18,1.992040569461436592e-15,4.348742266208104411e+03,1.330495632256191740e+01,3.815824318576206224e+03
3.820000000000000000e+02,2.387597391343132782e-15,7.304842886304769172e-18,2.095008540664860218e-15,4.585531440387515431e+03,1.402941167706597447e+01,4.023596091171325952e+03
3.830000000000000000e+02,2.446627728665634377e-15,7.485445923160942796e-18,2.146804987292488153e-15,4.711203720859417444e+03,1.441390542267793684e+01,4.133867823695441075e+03
3.840000000000000000e+02,2.567731690804113636e-15,7.855962920514897490e-18,2.253068227446952328e-15,4.957310051627851863e+03,1.516686657354309276e+01,4.349814979083106664e+03
3.850000000000000000e+02,2.691332978448352555e-15,8.234120473400399110e-18,2.361522757591243655e-15,5.209468057831150873e+03,1.593834279667749776e+01,4.571072205493358524e+03
3.860000000000000000e+02,2.807088439913745464e-15,8.588273758331208634e-18,2.463092930719208648e-15,5.447642724015615386e+03,1.666703705739490715e+01,4.780059684553115403e+03
3.870000000000000000e+02,2.859444884835724138e-15,8.748458053064993482e-18,2.509033339126461442e-15,5.563625794024260358e+03,1.702188670958347316e+01,4.881829573865966267e+03
3.880000000000000000e+02,2.888453671873477555e-15,8.837210299319483126e-18,2.534487235507305400e-15,5.634590370472144059e+03,1.723900249439899568e+01,4.944097774644718811e+03
3.890000000000000000e+02,3.023795527067587438e-15,9.251288062898301171e-18,2.653243581769512281e-15,5.913808245496689779e+03,1.809326825775485048e+01,5.189098809996683485e+03
3.900000000000000000e+02,3.191492652679190577e-15,9.764356622748148793e-18,2.800390211965660820e-15,6.257828730743511187e+03,1.914579729950617448e+01,5.490961199932668023e+03
3.910000000000000000e+02,3.246853917123606437e-15,9.933734148548733175e-18,2.848967213370328873e-15,6.382704281525039733e+03,1.952785345441204257e+01,5.600533838249365544e+03
3.920000000000000000e+02,3.270266387328644076e-15,1.000536449001592710e-17,2.869510595271924152e-15,6.445170557228901998e+03,1.971896872843762694e+01,5.655345165141248799e+03
3.930000000000000000e+02,3.310897311416940826e-15,1.012967460941315889e-17,2.905162390373024733e-15,6.541893631909793839e+03,2.001489251633671174e+01,5.740215281129205323e+03
3.940000000000000000e+02,3.423049049276901746e-15,1.047280231907788967e-17,3.003570459304131132e-15,6.780700479713923414e+03,2.074552093371889683e+01,5.949757470919194020e+03
3.950000000000000000e+02,3.593002790861560057e-15,1.099277498478648199e-17,3.152697167780517212e-15,7.135425351384194983e+03,2.183079999492539258e+01,6.261012474978906539e+03
3.960000000000000000e+02,3.664694743609455091e-15,1.121211617393946209e-17,3.215603608308704475e-15,7.296224828905702452e+03,2.232276523318263983e+01,6.402106731474344087e+03
3.970000000000000000e+02,3.752909774381117832e-15,1.148200964188090496e-17,3.293008301223736798e-15,7.490724889036217974e+03,2.291783724397546251e+01,6.572771722402330852e+03
3.980000000000000000e+02,3.797550914435711408e-15,1.161858899799290359e-17,3.332178879152194862e-15,7.598920381827116216e+03,2.324886084062934444e+01,6.667708365523246357e+03
3.990000000000000000e+02,3.803273901748105569e-15,1.163609845051154374e-17,3.337200541238547686e-15,7.629493649057285438e+03,2.334239960660686819e+01,6.694535022394070438e+03
4.000000000000000000e+02,3.812049326616639683e-15,1.166294682124508487e-17,3.344900578989551887e-15,7.666263100284847496e+03,2.345489556811480725e+01,6.726798550004127719e+03
4.010000000000000000e+02,3.995687204195619598e-15,1.222478603607782217e-17,3.506034496840378055e-15,8.055658968740289311e+03,2.464625037942285957e+01,7.068475782971300760e+03
4.020000000000000000e+02,4.189402196581395728e-15,1.281745613583186201e-17,3.676010626389895051e-15,8.467268391280649666e+03,2.590556745401914895e+01,7.429644403261628213e+03
4.030000000000000000e+02,4.241393356737638378e-15,1.297652284355866717e-17,3.721630513964461891e-15,8.593672814305020438e+03,2.629230118629534729e+01,7.540558557705774547e+03
4.040000000000000000e+02,4.445334723467860084e-15,1.360048048708100104e-17,3.900579823694745225e-15,9.029236944600381321e+03,2.762490757556925658e+01,7.922746348781685811e+03
4.050000000000000000e+02,4.486510010972500234e-15,1.372645608376676372e-17,3.936709273031270761e-15,9.135427624152151111e+03,2.794979745563368567e+01,8.015923859113448088e+03
4.060000000000000000e+02,4.715228686749495625e-15,1.442621978671450358e-17,4.137399548912670240e-15,9.624850914129187004e+03,2.944718568831618200e+01,8.445370622717668084e+03
4.070000000000000000e+02,4.794816432150967242e-15,1.466971811601445332e-17,4.207234189775025120e-15,9.811414217624153025e+03,3.001797522985361155e+01,8.609071469273179900e+03
4.080000000000000000e+02,4.924961180088587547e-15,1.506789535460962992e-17,4.321430309874909180e-15,1.010248447197658970e+04,3.090850329150693199e+01,8.864472430512634674e+03
4.090000000000000000e+02,5.014878736008894902e-15,1.534299769016247047e-17,4.400328891474876098e-15,1.031214380607158455e+04,3.154995502904198545e+01,9.048438997552661021e+03
4.100000000000000000e+02,5.223655289389785545e-15,1.598174856429276204e-17,4.583520858432708333e-15,1.076771578003927789e+04,3.294377532106603468e+01,9.448182764994524405e+03
4.110000000000000000e+02,5.365769800513607275e-15,1.641654723654274872e-17,4.708219903437666333e-15,1.108763895430413686e+04,3.392257875424369473e+01,9.728900856273912723e+03
4.120000000000000000e+02,5.510243963991498381e-15,1.685856525397014223e-17,4.834989436479133331e-15,1.141387889977123086e+04,3.492070831893263261e+01,1.001516162810157584e+04
4.130000000000000000e+02,5.681336101755150088e-15,1.738202083738507214e-17,4.985115036027481215e-15,1.179684167936087033e+04,3.609238112538982080e+01,1.035119411704047161e+04
