# Timestamp Wed May  7 14:21:16 2025
# At the Calibration unit focal plane for flat field calibration mode
# Source is Thorlabs SLS201L QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.700000000000000000e+02,3.449013179837203868e-12,1.055223945329079535e-14,3.026352807564350541e-12,6.415962174659455195e+06,1.962960582060127854e+04,5.629716132724030875e+06
3.710000000000000000e+02,4.067766726276239792e-12,1.244531299176471314e-14,3.569281011899180202e-12,7.587438187272423878e+06,2.321373112088843118e+04,6.657633260002996773e+06
3.720000000000000000e+02,3.762744320775493547e-12,1.151209838989573521e-14,3.301637670130104528e-12,7.037410192702282220e+06,2.153092308215794037e+04,6.175008613817994483e+06
3.730000000000000000e+02,3.968754416649618337e-12,1.214238530041480884e-14,3.482402195960268641e-12,7.442661625994508155e+06,2.277078791882716905e+04,6.530598386592158116e+06
3.740000000000000000e+02,4.415406628289779423e-12,1.350891562193459008e-14,3.874319276070072809e-12,8.302474001912406646e+06,2.540137980192829127e+04,7.285044792610393837e+06
3.750000000000000000e+02,4.529166698327588516e-12,1.385696401626364662e-14,3.974138583621658140e-12,8.539152900315966457e+06,2.612549776821954583e+04,7.492719803208254278e+06
3.760000000000000000e+02,4.855948045960911207e-12,1.485674999831044362e-14,4.260874411321930342e-12,9.179670514234807342e+06,2.808515836784679777e+04,8.054744990734268911e+06
3.770000000000000000e+02,5.061320069274474034e-12,1.548508472885903133e-14,4.441079057388116063e-12,9.593351765291487798e+06,2.935081419195502895e+04,8.417731546683358029e+06
3.780000000000000000e+02,5.041950460694002799e-12,1.542582350334312746e-14,4.424083103399995893e-12,9.581987300866432488e+06,2.931604466698694523e+04,8.407759744018092752e+06
3.790000000000000000e+02,5.419451270437442816e-12,1.658078543898060654e-14,4.755322961253714346e-12,1.032665676971237361e+07,3.159435737241654715e+04,9.061173465636793524e+06
3.800000000000000000e+02,5.377762663837413544e-12,1.645323934495892088e-14,4.718743097666936191e-12,1.027425747741687857e+07,3.143404198634685963e+04,9.015195460600482300e+06
3.810000000000000000e+02,5.951109441658058167e-12,1.820739109036388578e-14,5.221828919695421555e-12,1.139956107225601003e+07,3.487690299360804784e+04,1.000259838312697783e+07
3.820000000000000000e+02,6.261322725047980292e-12,1.915648715849678011e-14,5.494027021639224207e-12,1.202526536434554495e+07,3.679124230540860299e+04,1.055162555186618306e+07
3.830000000000000000e+02,6.418790076621639122e-12,1.963825777323221098e-14,5.632197488577584437e-12,1.235996279208691977e+07,3.781524749697304651e+04,1.084530738122280128e+07
3.840000000000000000e+02,6.739302665054152072e-12,2.061886451625821255e-14,5.913432764085646423e-12,1.301102173645447381e+07,3.980715924707468366e+04,1.141658210864197463e+07
3.850000000000000000e+02,7.066633238559065835e-12,2.162033085225229162e-14,6.200650512605529881e-12,1.367850073828678206e+07,4.184930808505346067e+04,1.200226469257480837e+07
3.860000000000000000e+02,7.373620358395954746e-12,2.255955648830736634e-14,6.470017802193073376e-12,1.430979114299064316e+07,4.378073808188358817e+04,1.255619342205393128e+07
3.870000000000000000e+02,7.514251557582280304e-12,2.298981697472498797e-14,6.593415308174412579e-12,1.462048945592932403e+07,4.473131809561875707e+04,1.282881711545247771e+07
3.880000000000000000e+02,7.593613593227161518e-12,2.323262474609596048e-14,6.663051898951153011e-12,1.481308232364071906e+07,4.532055506025758950e+04,1.299780863143814914e+07
3.890000000000000000e+02,7.952695679667890216e-12,2.433123468521155662e-14,6.978130161568072762e-12,1.555353755349828862e+07,4.758597432150475652e+04,1.364752454927089252e+07
3.900000000000000000e+02,8.397198497076093994e-12,2.569118894528056495e-14,7.368161245617764624e-12,1.646509509230606630e+07,5.037488028486385156e+04,1.444737499140738137e+07
3.910000000000000000e+02,8.546370570102454225e-12,2.614758019467330621e-14,7.499052981448947382e-12,1.680055753097064048e+07,5.140122602371676476e+04,1.474172808319024183e+07
3.920000000000000000e+02,8.611529180105970735e-12,2.634693265270976666e-14,7.556226709712416002e-12,1.697194287884133309e+07,5.192557868206249259e+04,1.489211096132361703e+07
3.930000000000000000e+02,8.722095009480983536e-12,2.668520828289216515e-14,7.653243215797657343e-12,1.723370205493226275e+07,5.272642963889704697e+04,1.512179277932870761e+07
3.940000000000000000e+02,9.021234259487137961e-12,2.760042339844929185e-14,7.915724355156930511e-12,1.787011713543455303e+07,5.467353855700865097e+04,1.568021817964721285e+07
3.950000000000000000e+02,9.473008198679151306e-12,2.898262362110416321e-14,8.312135519153320220e-12,1.881266082693949342e+07,5.755724650747182750e+04,1.650725756694601290e+07
3.960000000000000000e+02,9.665970622380522783e-12,2.957299124054026079e-14,8.481451303777440141e-12,1.924446639749968424e+07,5.887835360107563611e+04,1.688614739213608205e+07
3.970000000000000000e+02,9.902683192845961054e-12,3.029721222634501130e-14,8.689155860084083048e-12,1.976553658903894573e+07,6.047256537887868035e+04,1.734336287809643522e+07
3.980000000000000000e+02,1.002455851614068744e-11,3.067008919949531196e-14,8.796095934706593430e-12,2.005919703078931198e+07,6.137101810658188333e+04,1.760103661142898351e+07
3.990000000000000000e+02,1.004375097155095214e-11,3.072880842572780737e-14,8.812936444813790997e-12,2.014809772573569790e+07,6.164300936081144027e+04,1.767904294359327480e+07
4.000000000000000000e+02,1.007101689455733682e-11,3.081222838775066217e-14,8.836861056967664782e-12,2.025342764114095271e+07,6.196526573705513874e+04,1.777146517238344252e+07
4.010000000000000000e+02,1.056045367328997170e-11,3.230965788921688841e-14,9.266319656343813555e-12,2.129080906480281055e+07,6.513912927891388972e+04,1.868172037302096188e+07
4.020000000000000000e+02,1.107692541750729979e-11,3.388980073926458210e-14,9.719500213112095938e-12,2.238775272920027748e+07,6.849522321359658963e+04,1.964423874143319577e+07
4.030000000000000000e+02,1.121893456986984760e-11,3.432427706688452385e-14,9.844106810577320775e-12,2.273117461869054660e+07,6.954592085447192949e+04,1.994557589071222395e+07
4.040000000000000000e+02,1.176313895146308469e-11,3.598926778935341880e-14,1.032162150021421419e-11,2.389295191750169173e+07,7.310037298591645958e+04,2.096498283603088558e+07
4.050000000000000000e+02,1.187689472291044342e-11,3.633730303216539248e-14,1.042143703594742640e-11,2.418372228646923229e+07,7.398998354965804901e+04,2.122012066143141314e+07
4.060000000000000000e+02,1.248740928531453187e-11,3.820516943808996662e-14,1.095713590505924136e-11,2.548963383528255671e+07,7.798541373486438533e+04,2.236599888111640140e+07
4.070000000000000000e+02,1.270330444898176162e-11,3.886569966660348256e-14,1.114657413003428320e-11,2.599419261304965988e+07,7.952910892060140031e+04,2.280872634954225272e+07
4.080000000000000000e+02,1.305336517680271513e-11,3.993670880184092119e-14,1.145373655917552685e-11,2.677613369600556791e+07,8.192145395249419380e+04,2.349484422394979745e+07
4.090000000000000000e+02,1.329703733910181560e-11,4.068222262582770416e-14,1.166754784201149664e-11,2.734282690644868091e+07,8.365524914008814085e+04,2.399209184204475582e+07
4.100000000000000000e+02,1.385618147693489791e-11,4.239292146160223086e-14,1.215817149090232768e-11,2.856226448236957937e+07,8.738611261567077599e+04,2.506209306822501495e+07
4.110000000000000000e+02,1.423886973449384122e-11,4.356375436920950175e-14,1.249396309919652528e-11,2.942270216629949585e+07,9.001861762566670950e+04,2.581708815369417891e+07
4.120000000000000000e+02,1.462812168448038590e-11,4.475466886264506380e-14,1.283551405022747428e-11,3.030058388137717545e+07,9.270449256616274943e+04,2.658738958619266376e+07
4.130000000000000000e+02,1.508836941430155083e-11,4.616279460750975783e-14,1.323936058159536727e-11,3.132979672250648960e+07,9.585336436853460327e+04,2.749047722573598474e+07
4.140000000000000000e+02,1.521393093778905087e-11,4.654694949265364571e-14,1.334953512988352095e-11,3.166700557186861709e+07,9.688505324262750219e+04,2.778636271378470585e+07
4.150000000000000000e+02,1.585497738203123277e-11,4.850822804614511613e-14,1.391202434205957908e-11,3.308102369805410877e+07,1.012112349881861592e+05,2.902709955733899400e+07
4.160000000000000000e+02,1.604246569442060734e-11,4.908184764800452056e-14,1.407653684201235376e-11,3.355286942623918504e+07,1.026548447539963963e+05,2.944112280682322755e+07
4.170000000000000000e+02,1.655653085608838012e-11,5.065462757016447014e-14,1.452760573162376395e-11,3.471127886872224510e+07,1.061989929449903721e+05,3.045757461079492420e+07
4.180000000000000000e+02,1.702633525150455188e-11,5.209199188805725795e-14,1.493983780408598367e-11,3.578184080004476011e+07,1.094743720925486850e+05,3.139694420365983620e+07
4.190000000000000000e+02,1.720501948622888577e-11,5.263867545608821437e-14,1.509662512475693580e-11,3.624385703735497594e+07,1.108879085776820721e+05,3.180234252022703364e+07
4.200000000000000000e+02,1.779483677960627347e-11,5.444321866566326146e-14,1.561416307798879898e-11,3.757582427066181600e+07,1.149630560059254494e+05,3.297108342260078341e+07
4.210000000000000000e+02,1.832741995453967852e-11,5.607265436151537313e-14,1.608148068528113147e-11,3.879257818431978673e+07,1.186857088295524154e+05,3.403872985672879219e+07
4.220000000000000000e+02,1.850147731317385019e-11,5.660518202410951502e-14,1.623420813180385809e-11,3.925401420894603431e+07,1.200974701567331358e+05,3.444361906295238435e+07
4.230000000000000000e+02,1.907544834677453979e-11,5.836124367711055419e-14,1.673784170999738876e-11,4.056769557911327481e+07,1.241166720734930423e+05,3.559631494886323065e+07
4.240000000000000000e+02,1.954742523315617099e-11,5.980525472080064531e-14,1.715198004485697002e-11,4.166972498169038445e+07,1.274883257999973575e+05,3.656329582211843133e+07
4.250000000000000000e+02,2.014701340902185310e-11,6.163969189897204325e-14,1.767809150480191019e-11,4.304917395090140402e+07,1.317087433738718973e+05,3.777369979658528417e+07
4.260000000000000000e+02,2.052429533570015095e-11,6.279398416291062425e-14,1.800913930268247740e-11,4.395852093015719205e+07,1.344908861407739168e+05,3.857161057286443561e+07
4.270000000000000000e+02,2.102013918586701024e-11,6.431101606901929545e-14,1.844421981696941259e-11,4.512619121350032836e+07,1.380633678304235509e+05,3.959618834512791038e+07
4.280000000000000000e+02,2.147009240672141725e-11,6.568764581256212075e-14,1.883903338311230393e-11,4.620009829098425806e+07,1.413489814367852814e+05,4.053849315219742805e+07
4.290000000000000000e+02,2.196235471984021447e-11,6.719372002307167093e-14,1.927097126090130842e-11,4.736978468985144794e+07,1.449276314223114750e+05,4.156483997449302673e+07
4.300000000000000000e+02,2.264706660942573642e-11,6.928859279933710593e-14,1.987177492310060698e-11,4.896047582731557637e+07,1.497943434073150274e+05,4.296059938126325607e+07
4.310000000000000000e+02,2.270935062873599428e-11,6.947915046079152652e-14,1.992642632826423912e-11,4.920930176463154703e+07,1.505556251815040305e+05,4.317893286818445474e+07
