Wavelength,tpt
370,0.988397232
371,0.987077383
372,0.985773022
373,0.984527073
374,0.983372516
375,0.982333704
376,0.98142702
377,0.980662733
378,0.980046591
379,0.979579183
380,0.979257331
381,0.979073374
382,0.979020045
383,0.979086831
384,0.979261831
385,0.979531467
386,0.97987713
387,0.980293158
388,0.980765455
389,0.98128009
390,0.981823057
391,0.982382636
392,0.98294701
393,0.983505295
394,0.984047238
395,0.984564381
396,0.985049284
397,0.985495413
398,0.9858973
399,0.986250567
400,0.98655763
401,0.986812494
402,0.987014013
403,0.987161867
404,0.987256558
405,0.987299203
406,0.987291518
407,0.987235801
408,0.987134833
409,0.986991632
410,0.986809596
411,0.986592371
412,0.986343924
413,0.986068072
414,0.985768791
415,0.985450085
416,0.985115984
417,0.984770371
418,0.984416922
419,0.984059245
420,0.983700775
421,0.983344794
422,0.982994223
423,0.982651835
424,0.982320157
425,0.982001446
426,0.981697689
427,0.981410645
428,0.981141812
429,0.980892424
430,0.98066338
431,0.980455511
432,0.980269342
433,0.980105182
434,0.979963005
435,0.979842753
436,0.979744204
437,0.979666915
438,0.979610241
439,0.979573323
440,0.979555454
441,0.979555672
442,0.979572914
443,0.979605868
444,0.97965345
445,0.97971776
446,0.97979398
447,0.979880752
448,0.979976705
449,0.980080694
450,0.980191433
451,0.980307655
452,0.980427928
453,0.980551225
454,0.98067641
455,0.980802372
456,0.980927989
457,0.981052255
458,0.981174329
459,0.981293349
460,0.981408522
461,0.981518992
462,0.981624262
463,0.981723762
464,0.981816994
465,0.981903475
466,0.981982874
467,0.982054962
468,0.982119527
469,0.982176419
470,0.982225496
471,0.982266817
472,0.982300418
473,0.982326394
474,0.982344846
475,0.982355987
476,0.982360072
477,0.982357371
478,0.982348175
479,0.982332789
480,0.982311622
481,0.982285058
482,0.982253503
483,0.982217332
484,0.982177004
485,0.982132972
486,0.982085676
487,0.982035547
488,0.98198301
489,0.981928536
490,0.981872557
491,0.981815496
492,0.981757712
493,0.981699647
494,0.981641693
495,0.981584216
496,0.981527536
497,0.981471973
498,0.981417874
499,0.981365527
500,0.9813152
501,0.981265098
502,0.981217395
503,0.981172299
504,0.981129997
505,0.981095032
506,0.981063113
507,0.981034354
508,0.981008848
509,0.980986668
510,0.980967865
511,0.980952474
512,0.980940508
513,0.980931963
514,0.980926818
515,0.980925034
516,0.980926557
517,0.980931318
518,0.980939232
519,0.980950201
520,0.980964117
521,0.980980858
522,0.981000291
523,0.981022274
524,0.981046658
525,0.981073282
526,0.981101983
527,0.981132589
528,0.981164923
529,0.981198806
530,0.981234054
531,0.981270481
532,0.981307902
533,0.981346127
534,0.981384971
535,0.981423817
536,0.981462923
537,0.981502108
538,0.981541193
539,0.981580003
540,0.981618368
541,0.981656123
542,0.981693108
543,0.98172917
544,0.981764163
545,0.981797948
546,0.981830391
547,0.981861371
548,0.98189077
549,0.98191884
550,0.981945117
551,0.981955659
552,0.981964213
553,0.981970708
554,0.981975085
555,0.981977293
556,0.981977291
557,0.981975046
558,0.981970537
559,0.98196375
560,0.981954681
561,0.981943333
562,0.981929721
563,0.981913866
564,0.981898064
565,0.981880075
566,0.981859948
567,0.981837741
568,0.981813516
569,0.981787345
570,0.981759304
571,0.981729478
572,0.981697954
573,0.981664827
574,0.981630196
575,0.981594165
576,0.981556843
577,0.981518341
578,0.981478774
579,0.981436007
580,0.981392405
581,0.981348089
582,0.981303183
583,0.981257813
584,0.981212103
585,0.981166182
586,0.981120176
587,0.981074214
588,0.981028421
589,0.980982924
590,0.980937848
591,0.980893318
592,0.980849455
593,0.980806379
594,0.980766586
595,0.980727834
596,0.980690235
597,0.980653899
598,0.980618932
599,0.980585437
600,0.980553512
601,0.980523252
602,0.980494748
603,0.980468085
604,0.980443346
605,0.980420606
606,0.980399939
607,0.980381412
608,0.980365087
609,0.980348494
610,0.980334191
611,0.980322226
612,0.980312642
613,0.980305474
614,0.980300756
615,0.980298514
616,0.980298769
617,0.980301538
618,0.980306832
619,0.980314658
620,0.980325017
621,0.980337905
622,0.980353315
623,0.980371232
624,0.980394321
625,0.980419894
626,0.980447923
627,0.980478376
628,0.980511217
629,0.980546406
630,0.980583898
631,0.980623644
632,0.980665594
633,0.98070969
634,0.980755874
635,0.980804084
636,0.980854254
637,0.980906315
638,0.980960196
639,0.981015823
640,0.981073119
641,0.981132005
642,0.981192401
643,0.981254222
644,0.981317384
645,0.981381801
646,0.981447383
647,0.981514042
648,0.981581686
649,0.981650223
650,0.98171956
651,0.981789604
652,0.981860261
653,0.981931436
654,0.982003033
655,0.982074959
656,0.982147117
657,0.982219413
658,0.982291751
659,0.982364039
660,0.982436181
661,0.982508085
662,0.982579658
663,0.98265081
664,0.982721449
665,0.982791486
666,0.982860835
667,0.982929407
668,0.982997117
669,0.983063884
670,0.983129623
671,0.983194256
672,0.983257704
673,0.98331989
674,0.98338074
675,0.983440183
676,0.983498147
677,0.983554565
678,0.983609371
679,0.983662502
680,0.983713897
681,0.983763497
682,0.983811247
683,0.983857092
684,0.983900817
685,0.983942541
686,0.98398222
687,0.984019811
688,0.984055274
689,0.984088571
690,0.984119667
691,0.984148531
692,0.984175134
693,0.984199448
694,0.98422145
695,0.984241119
696,0.984258438
697,0.984273389
698,0.984286099
699,0.984296415
700,0.984304329
701,0.984309837
702,0.984312935
703,0.984313625
704,0.98431191
705,0.984307795
706,0.984301289
707,0.984292402
708,0.984281147
709,0.98426754
710,0.984251599
711,0.984233344
712,0.984212799
713,0.984189987
714,0.984164936
715,0.984137675
716,0.984108235
717,0.984076651
718,0.984042957
719,0.98400719
720,0.983969391
721,0.983929599
722,0.983887858
723,0.983844213
724,0.983798709
725,0.983751394
726,0.983702317
727,0.98365153
728,0.983599083
729,0.983545032
730,0.983489429
731,0.983432332
732,0.983373797
733,0.983313882
734,0.983252647
735,0.983190151
736,0.983126454
737,0.98306162
738,0.98299571
739,0.982928786
740,0.982860914
741,0.982792157
742,0.982722579
743,0.982652218
744,0.982581069
745,0.982509198
746,0.982436671
747,0.982363555
748,0.982289917
749,0.982215822
750,0.982141337
751,0.98206653
752,0.981991467
753,0.981916215
754,0.981840839
755,0.981765407
756,0.981689983
757,0.981614635
758,0.981540175
759,0.981466012
760,0.98139221
761,0.981318831
762,0.981245937
763,0.98117359
764,0.98110185
765,0.981030776
766,0.980960429
767,0.980890865
768,0.980822143
769,0.980754318
770,0.980687446
771,0.980621581
772,0.980556776
773,0.980493084
774,0.980430556
775,0.980369241
776,0.980309188
777,0.980250445
778,0.980193058
779,0.980137073
780,0.980082532
781,0.98002948
782,0.979977956
