Wavelength,LRB Spec Only,LRR Spec Only,HRB Spec Only,HRR Spec Only
370,0.253,0.000,0.000,0.000
400,0.355,0.000,0.000,0.000
430,0.438,0.000,0.409,0.000
460,0.495,0.000,0.495,0.000
490,0.518,0.000,0.512,0.000
520,0.529,0.306,0.465,0.000
550,0.512,0.376,0.353,0.000     
580,0.482,0.429,0.000,0.000
610,0.441,0.470,0.000,0.000
640,0.400,0.500,0.000,0.394
670,0.353,0.517,0.000,0.453
700,0.306,0.529,0.000,0.500
730,0.253,0.529,0.000,0.523
760,0.000,0.523,0.000,0.523
790,0.000,0.506,0.000,0.512
820,0.000,0.477,0.000,0.483
850,0.000,0.448,0.000,0.448
880,0.000,0.419,0.000,0.407
910,0.000,0.386,0.000,0.000
940,0.000,0.351,0.000,0.000
970,0.000,0.317,0.000,0.000
