Wavelength,25LRB,25LRR,25HRB,25HRR,50LRB,50LRR,50HRB,50HRR
370,0.303723576,0,0,0,0.328246641,0,0,0
380,0.341965224,0,0,0,0.369536916,0,0,0
390,0.362030232,0,0,0,0.391181006,0,0,0
400,0.433299302,0,0,0,0.468145236,0,0,0
410,0.488604105,0,0,0,0.527851574,0,0,0
420,0.492172893,0,0,0,0.531663212,0,0,0
430,0.480491103,0,0.486107464,0,0.51900355,0,0.525070075,0
440,0.486569853,0,0.476976091,0,0.525530355,0,0.515168404,0
450,0.498511091,0,0.509743261,0,0.538389233,0,0.550519915,0
460,0.519131813,0,0.549551438,0,0.560620718,0,0.593471473,0
470,0.529007551,0,0.555514371,0,0.571247193,0,0.599870502,0
480,0.49912557,0,0.514946497,0,0.538943466,0,0.556026513,0
490,0.467750662,0,0.472098618,0,0.505032338,0,0.509726844,0
500,0.447321821,0.318193419,0.445125204,0,0.482943325,0.343532063,0.480571785,0
510,0.437900753,0.330211674,0.436653407,0,0.472740411,0.356483522,0.471393825,0
520,0.463461895,0.367936651,0.463481183,0,0.500301024,0.397182779,0.500321845,0
530,0.501271499,0.416940253,0.500008345,0,0.541077884,0.450049825,0.539714422,0
540,0.532535738,0.463312317,0.535614634,0,0.574782786,0.500067743,0.578105936,0
550,0.555120937,0.504625461,0,0,0.599113848,0.544616645,0,0
560,0.554236151,0.523448252,0,0,0.598110752,0.564885612,0,0
570,0.535783442,0.528281336,0,0,0.578148,0.5700527,0,0
580,0.514878582,0.523323311,0,0,0.555539875,0.564651506,0,0
590,0.48786953,0.515032332,0,0,0.526347042,0.555652132,0,0
600,0.471119765,0.513829715,0,0,0.508223828,0.554297493,0,0
610,0.457993587,0.516224991,0,0,0.493997385,0.556806477,0,0
620,0.45344408,0.527527982,0,0,0.489021844,0.568918458,0,0
630,0.449644542,0.541558642,0,0.478418709,0.484854008,0.583965452,0,0.51588134
640,0.452990086,0.560419416,0,0.497759952,0.488388613,0.604212917,0,0.536656983
650,0.450388517,0.578454104,0,0.52547382,0.485509233,0.623561209,0,0.566449591
660,0.44422926,0.586533367,0,0.553092288,0.478794372,0.632171044,0,0.596127942
670,0.431974655,0.589040925,0,0.570310291,0.465511413,0.63477167,0,0.614586865
680,0.41795442,0.586632058,0,0.58162305,0.450328917,0.632072222,0,0.62667522
690,0.400641234,0.580651335,0,0.58035734,0.431602763,0.625524035,0,0.625207319
700,0,0.570364927,0,0.570793919,0,0.614338902,0,0.614800968
710,0,0.559410537,0,0.549495584,0,0.602429606,0,0.591752186
720,0,0.547012405,0,0.518653386,0,0.58896964,0,0.558435413
730,0,0.536870589,0,0.49729664,0,0.577943664,0,0.535342125
740,0,0.532670608,0,0.499371872,0,0.573317717,0,0.537478017
750,0,0.527649642,0,0.499603687,0,0.567811353,0,0.537630699
760,0,0.522582585,0,0.489229742,0,0.562259362,0,0.526374224
770,0,0.517209706,0,0.485614789,0,0.556382929,0,0.522395028
780,0,0.518524567,0,0.518207004,0,0.557704762,0,0.557363204
790,0,0.521059065,0,0.52730389,0,0.560341592,0,0.567057214
800,0,0.519454331,0,0.528674195,0,0.558531481,0,0.56844493
810,0,0.51825854,0,0.548310324,0,0.557170726,0,0.589478876
820,0,0.51293258,0,0.558734165,0,0.55137609,0,0.600610434
830,0,0.508448895,0,0.562455937,0,0.546493944,0,0.604542101
840,0,0.505593821,0,0.564084888,0,0.543369283,0,0.606230513
850,0,0.499698969,0,0.588061059,0,0.536985104,0,0.631940525
860,0,0.488494867,0,0.58132043,0,0.524903812,0,0.624647934
870,0,0.475238142,0,0.57163604,0,0.510625767,0,0.614201734
880,0,0.462172347,0,0,0,0.496561663,0,0
890,0,0.448457302,0,0,0,0.48180855,0,0
900,0,0.43712698,0,0,0,0.469625716,0,0
910,0,0.426226395,0,0,0,0.457912435,0,0
920,0,0.413026181,0,0,0,0.443736144,0,0
930,0,0.400169335,0,0,0,0.429935936,0,0
940,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0
970,0,0,0,0,0,0,0,0
980,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0
